SampleID	k_Archaea.p_Euryarchaeota.c_Methanomicrobia.o_Methanosarcinales	k_Archaea.p_Euryarchaeota.c_Thermococci.o_Thermococcales	k_Archaea.p_Euryarchaeota.c_unassigned.o_unassigned	k_Archaea.p_unassigned.c_unassigned.o_unassigned	k_Bacteria.p_Acidobacteria.c_Acidobacteria_Gp1.o_Incertae_sedis	k_Bacteria.p_Acidobacteria.c_Holophagae.o_Acanthopleuribacterales	k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Acidimicrobiales	k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales	k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales	k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales	k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Solirubrobacterales	k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_unassigned	k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales	k_Bacteria.p_Bacteroidetes.c_Flavobacteria.o_Flavobacteriales	k_Bacteria.p_Bacteroidetes.c_Sphingobacteria.o_Sphingobacteriales	k_Bacteria.p_Bacteroidetes.c_unassigned.o_unassigned	k_Bacteria.p_DeinococcusThermus.c_Deinococci.o_Thermales	k_Bacteria.p_Firmicutes.c_Bacilli.o_Bacillales	k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales	k_Bacteria.p_Firmicutes.c_Bacilli.o_unassigned	k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales	k_Bacteria.p_Firmicutes.c_Clostridia.o_unassigned	k_Bacteria.p_Firmicutes.c_Erysipelotrichia.o_Erysipelotrichales	k_Bacteria.p_Firmicutes.c_Negativicutes.o_Selenomonadales	k_Bacteria.p_Firmicutes.c_unassigned.o_unassigned	k_Bacteria.p_Fusobacteria.c_Fusobacteria.o_Fusobacteriales	k_Bacteria.p_Lentisphaerae.c_Lentisphaeria.o_Incertae_sedis	k_Bacteria.p_Lentisphaerae.c_Lentisphaeria.o_Victivallales	k_Bacteria.p_Planctomycetes.c_Planctomycetacia.o_Planctomycetales	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_Caulobacterales	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_Kiloniellales	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_Kordiimonadales	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_Parvularculales	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_Rhizobiales	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_Rhodobacterales	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_Rhodospirillales	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_Sphingomonadales	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_unassigned	k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_Burkholderiales	k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_Methylophilales	k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_Neisseriales	k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_Rhodocyclales	k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_unassigned	k_Bacteria.p_Proteobacteria.c_Deltaproteobacteria.o_Desulfovibrionales	k_Bacteria.p_Proteobacteria.c_Deltaproteobacteria.o_Desulfuromonadales	k_Bacteria.p_Proteobacteria.c_Deltaproteobacteria.o_Myxococcales	k_Bacteria.p_Proteobacteria.c_Epsilonproteobacteria.o_Campylobacterales	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Alteromonadales	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Cardiobacteriales	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Enterobacteriales	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Legionellales	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Oceanospirillales	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Pasteurellales	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Pseudomonadales	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Xanthomonadales	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_unassigned	k_Bacteria.p_Proteobacteria.c_unassigned.o_unassigned	k_Bacteria.p_Spirochaetes.c_Spirochaetes.o_Spirochaetales	k_Bacteria.p_Synergistetes.c_Synergistia.o_Synergistales	k_Bacteria.p_TM7.c_Incertae_sedis.o_Incertae_sedis	k_Bacteria.p_Tenericutes.c_Mollicutes.o_Anaeroplasmatales	k_Bacteria.p_Verrucomicrobia.c_Verrucomicrobiae.o_Verrucomicrobiales	k_Bacteria.p_unassigned.c_unassigned.o_unassigned	k_unassigned.p_unassigned.c_unassigned.o_unassigned
H0700	0	0	0	0	0	0	0	1.58	0	3.86	0	0	10.2	0	0	0.04	0	0.04	26.52	0.7	53.6	0	2.64	0.08	0.42	0.02	0	0	0	0	0	0	0	0	0	0.08	0	0	0.02	0	0	0	0	0.1	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0
H0705	0	0	0	0	0	0	0	0.04	0	0.92	0	0	5.26	0	0	0	0	0	62.02	0.22	27.96	0	0.76	2.42	0.04	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0
H0709	0	0	0	0	0	0	0	0.02	0	0.28	0	0	37.84	0	0	0	0	0.04	1.8	1.46	50.26	0	5.34	1	0.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0.06	0	0	0	0	0	0.34	0	0	0.1	0	0	0	0	0	0	0	0	0	0.34	0
H0716	0	0	0	0	0	0	0	0.16	0	1.66	0	0	15.34	0	0	0	0	0	27.24	1.04	44.92	0	1	2.92	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.62	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0
H0735	0	0	0	0	0	0	0	0.06	0	0.94	0	0	21.4	0	0	0.14	0	0	3.24	0.08	65.4	0	4.06	1.66	0.14	0	0	0	0	0	0	0	0.02	0	0	0	0	0.06	0.1	0	0	0	0	0.14	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0
H0736	0	0	0	0	0	0	0	0.24	0	6.88	0	0	33.32	0	0	0.08	0	0.02	1.02	0.04	47.84	0	8.14	1.42	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0.42	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02	0.2	0
H0738	0	0	0	0	0	0	0	0.3	0	0.64	0	0	38.08	0	0	0.02	0	0.14	15.52	0.04	41.2	0	0.66	1.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9	0	0	0	0	0.08	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0742	0	0	0	0	0	0	0	0.08	0	1.9	0	0	2.44	0	0	0	0	0	21.56	0.1	62.72	0	6.38	0.76	0.18	1.48	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	1.64	0	0	0.02	0	0	0	0	0	0	0	0	0	0.7	0
H0757	0	0	0	0	0	0	0	0.24	0	1.16	0	0	18.28	0	0	0.1	0	0	3.12	0.3	74.26	0	0.74	0.3	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0.76	0
H0762	0	0	0	0	0	0	0	0.18	0	1.04	0	0	8.84	0	0	0.12	0	0	1.04	0.44	85.48	0	1.58	0.28	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0
H0768	0	0	0	0	0	0	0	0.08	0	0.4	0	0	9.32	0	0	0.98	0	0	1.52	2.04	78.9	0	4.72	0.4	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0.38	0
H0775	0	0	0	0	0	0	0	0.16	0	1.38	0	0.02	1.98	0	0	0.1	0	0.12	7.24	0.38	79.54	0.02	3.9	0.84	0.06	2.52	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.04	0	0	0	0	0	0.26	0	0	0.04	0	0	0	0	0	0	0	0	0.04	1.34	0
H0781	0	0	0	0	0	0	0	0.06	0	1.5	0	0	7.36	0	0	0.04	0	0.02	5.44	0.6	77.72	0	2.86	0.42	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	2.64	0	0	0	0	0	0	0	0	0	0	0	0	1.3	0
H0785	0	0	0	0	0	0	0	0.26	0	7	0	0	5.96	0	0	0	0	0	8.02	0.02	70.78	0.02	4.18	0.72	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78	0	0	0	0	0	0	0	0	0	0	0	0.08	1.08	0
H0790	0	0	0	0	0	0	0	0	0	0.94	0	0	2.7	0	0	0.06	0	0	1.62	0.4	72.94	0	12.82	0.42	0.16	4.88	0	0	0	0	0	0	0	0	0	0.12	0	0	0.12	0	0	0	0	0.02	0	0	0	0	0	1.82	0	0	0.04	0	0	0	0	0	0	0.02	0	0	0.92	0
H0793	0	0	0	0	0	0	0	0.04	0.02	0.78	0	0	11.88	0	0	0	0	0	4.6	0	72.38	0	5.32	0.34	4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0
H0796	0	0	0	0	0	0	0	0.14	0	0.48	0	0	1.98	0	0	0.02	0	0	10.16	4.34	74.8	0.04	6.5	0.38	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0.62	0
H0800	0	0	0	0	0	0	0	0.12	0	0.66	0	0.02	4.06	0	0	0	0	0	11.92	0.1	76.64	0.04	3.5	0.66	0.14	1.08	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0.04	0	0	0	0	0	0	0	0	0	0.74	0
H0812	0	0	0	0	0	0	0	0.04	0	1.94	0	0.02	7.72	0	0	0.14	0	0	7.78	0.56	68.68	0.02	3.8	0.6	0.14	0.64	0	0	0	0	0	0	0	0	0	0.02	0	0	0.06	0	0	0	0	0.02	0	0	0	0	0	6.82	0	0	0	0	0	0	0	0	0	0	0	0	1	0
H0823	0	0	0	0	0	0	0	0.04	0	0.58	0	0	17.12	0	0	0.7	0	0	2.12	0.4	75.98	0	1.6	0.54	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34	0	0	0.02	0	0	0	0	0	0	0	0	0	0.54	0
H0838	0	0	0	0	0	0	0	0.06	0	8.72	0	0	6.22	0	0	0	0	0.04	0.16	0.38	78.32	0.02	2.56	3.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.16	0
H0846	0	0	0	0	0	0	0	0.14	0	1.54	0	0.02	3.8	0	0	0.08	0	0	5.22	0.82	83.64	0	1.68	0.62	0.06	0.9	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42	0	0	0	0	0	0	0	0	0	0	0	0.04	0.98	0
H0849	0	0	0	0	0	0	0	0.08	0	17.08	0	0	8.02	0	0	0	0	0.02	2.9	0.14	64.22	0	1.06	5.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48	0	0	0	0	0.26	0	0	0	0	0	0.16	0	0	0.1	0	0	0	0	0	0.04	0	0	0	0.26	0
H0851	0	0	0	0	0	0	0	0.04	0	3.26	0	0	5.96	0	0	0	0	0	9.38	0.06	76.02	0	1.3	0.44	3.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0
H0866	0	0	0	0	0	0	0	0.94	0	30.38	0	0	14.4	0	0	0.12	0	0.02	4.1	0.36	44.8	0	0.58	3.4	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.6	0	0	0	0	0.04	0	0	0	0	0	0.22	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0
H0886	0	0	0	0	0	0	0	0.22	0	8.92	0	0	11.8	0	0	0.06	0	0.02	1.3	0.22	73.14	0	1.76	1.24	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.08	0	0	0	0	0.16	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0.88	0.02	0
H0896	0	0	0	0	0	0	0	0.16	0	1.44	0	0	10.46	0	0	0.02	0	0	13.94	0.04	68.94	0	3.44	1.08	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0
H0914	0	0	0	0	0	0	0	0.04	0	7.16	0	0	9.88	0	0	0	0	0	0.44	0.8	72.82	0	2.96	5.48	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0.16	0
H0915	0	0	0	0	0	0	0	0.14	0	2.48	0	0	0.84	0	0	0	0	0	2.58	1.16	77.1	0	7.32	7.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.08	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.16	0	0	0	0.26	0
H0930	0	0	0	0	0	0	0	0.3	0.04	5.76	0	0	5.28	0	0	0	0	0	34	0.22	50.14	0.02	0.56	3.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0
J0001	0	0	0	0	0	0	0	0.06	0	1	0	0	2.96	0	0	0	0	0	5.34	15.26	60.84	0.02	0.62	0.24	13.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0.06	0	0	0.06	0.14	0
J0003	0	0	0	0	0	0	0	0.16	0	1.6	0	0	18.96	0	0	0.9	0	0.02	2.44	0.18	52.74	0.12	14.92	1.82	0.02	0.06	0.02	0.1	0	0	0	0	0	0	0	0	0	0	0.64	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0.02	4.92	0
J0005	0	0	0	0	0	0	0	0.06	0	2.68	0	0	15.14	0	0	0	0	0.14	1.26	0.42	72.34	0	2.52	1.08	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0.02	0	0	0	0	0	3.92	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0
J0018	0	0	0	0	0	0	0	0.04	0	0.4	0	0	3.6	0	0	0	0	0	4.32	6.36	67.72	0	1.36	0.24	15.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.12	0.3	0
J0020	0	0	0	0	0	0	0	0.1	0	2.38	0	0	37	0	0	0	0	0	3.06	0.46	52.16	0	0.72	2.22	0	1.26	0	0	0	0	0	0	0	0	0	0	0	0	0.42	0	0	0	0	0.02	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0
J0022	0	0	0	0	0	0	0	0.04	0	4.1	0	0	2.66	0	0	0	0	0.06	1.48	0.2	68.4	0	4.52	0.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0	0.24	0	0	0	0	0	17.56	0	0	0	0	0	0	0	0	0	0.02	0	0	0.18	0
J0024	0	0	0	0	0	0	0	2.3	0	2.18	0	0	1.18	0	0	0	0	0.04	43.28	1	36.84	0	0.94	0.36	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.08	0	0	0.02	0	0	11.5	0	0	0	0	0	0	0	0	0	0.02	0	0.1	0.12	0
J0036	0	0	0	0	0	0	0	0.1	0	0.94	0	0	9	0	0	0	0	0.08	7.22	14.68	62.26	0	1.84	0.24	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	2.78	0
J0038	0	0	0	0	0	0	0	0.06	0	2.12	0	0	45.34	0	0	0	0	0	2.18	0.58	39.62	0	4.22	1.08	0	3.76	0	0	0	0	0	0	0	0	0	0	0	0	0.72	0	0	0	0	0.04	0	0	0	0	0	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0
J0040	0	0	0	0	0	0	0	0.12	0	0.48	0	0	15.92	0	0	0	0	0.18	32.32	0.02	44.6	0	0.38	1.36	0	0.04	0	0	0	0	0	0	1.98	0	0	0	0	0.12	0.9	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0.06	0	0	0	0	0	0	0	0	0	0.12	0
J0042	0	0	0	0	0	0	0	0.4	0	0.52	0	0	42.06	0	0	0	0	0	11.8	0.42	37.38	0	0.86	1.5	0	1.44	0	0	0	0	0	0	0	0	0	0	0	0	0.82	0	0	0	0	0.02	0	0	0	0	0	2.44	0	0	0	0	0	0	0.02	0	0	0	0	0.1	0.22	0
J0054	0	0	0	0	0	0	0	0.22	0	2.42	0	0	3.38	0	0	0	0	0.06	23.06	0.28	66.88	0	1.86	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	1.5	0
J0056	0	0	0	0	0	0	0	0.18	0	6.68	0	0	19.34	0	0	0	0	0	4	1.12	65.3	0.02	1.26	1.16	0.02	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0	0	0	0	0.08	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0
J0058	0	0	0	0	0	0	0	0.36	0	0.98	0	0	5.78	0	0	0	0	0	17.06	0.5	67.3	0	0.96	3.82	1.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0	0	0	0	0.08	0	0	0	0	0	1.26	0	0.02	0	0	0	0	0.06	0	0	0	0	0	0.36	0
J0060	0	0	0	0	0	0	0	1.28	0.04	1.24	0	0	4.68	0	0	0	0	0	40.9	0.34	42	0	1.86	0.12	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	7.16	0	0	0	0	0	0	0.02	0	0	0	0	0	0.06	0
J0072	0	0	0	0	0	0	0	0.22	0	1.76	0	0	2.22	0	0	0	0	0.12	23.98	0.24	59.8	0.02	1.6	0.1	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0.1	0	0.02	0	0	0	0	0	0	0	0	0	0.2	9.54	0
J0074	0	0	0	0	0	0	0	0.16	0	6.46	0	0	9.76	0	0	0	0	0	2.94	1.2	75.28	0	2.94	0.78	0	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0.04	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0
J0076	0	0	0	0	0	0	0	0.24	0	0.76	0	0	21.06	0	0	0	0	0	12.58	0.34	44.98	0	4.84	8.4	0.16	4.82	0	0	0	0	0	0	0	0	0	0	0	0	1.24	0	0	0	0	0.12	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0
J0078	0	0	0	0	0	0	0	0.12	0	1.02	0	0	11.52	0	0	0	0	0	37.36	0.16	43.46	0	0.54	2.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	2.9	0	0	0	0	0	0	0.04	0	0	0	0	0.02	0.2	0
J0090	0	0	0	0	0	0	0	0.22	0	2.34	0	0	6.58	0	0	0	0	0.2	33.7	0.34	46.54	0	9.06	0.1	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0	0	0	0	0	0	0.04	0.82	0
J0092	0	0	0	0	0	0	0	0.32	0	5.58	0	0	16.62	0	0	0	0	0	5.94	1.88	64.66	0	1.46	1.38	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0	0.28	0	0	0	0	0.16	0	0	0	0	0	1.64	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0
J0094	0	0	0	0	0	0	0	0.84	0	0.9	0	0	5.86	0	0	0	0	0.02	15.4	0.4	55.88	0	0.42	11.86	1.02	0.76	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0	0	0	0	0.06	0	0	0.02	0	0	5.78	0	0	0	0	0	0	0.02	0	0	0	0	0.1	0.28	0
J0109	0	0	0	0	0	0	0	0.04	0	0.74	0	0	12.44	0	0	0	0	0.08	1.3	0.14	77.52	0	2.44	1.82	0.54	0	0	0	0	0	0	0	0.24	0	0	0	0	0.22	0.32	0	0	0	0	0.14	0	0	0	0	0	1.76	0	0	0	0	0	0	0.04	0	0	0	0	0	0.22	0
J0124	0	0	0	0	0	0	0	0.16	0.02	1.8	0	0	2.96	0	0	0	0	0.02	23.44	0.2	68.16	0	2.12	0.8	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.24	0
J0126	0	0	0	0	0	0	0	0.16	0	1.44	0	0	18.1	0	0	0	0	0.02	1.78	0.08	68.52	0	3	2.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.34	0	0	0	0	0.04	0	0	0	0	0	3.88	0	0	0	0	0	0	0	0	0	0	0	0	0.24	0
J0128	0	0	0	0	0	0	0	0.68	0	1.8	0	0	5.1	0	0	0	0	0	8.96	0.82	71.88	0	2.66	2.38	1.64	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0.02	0	0	0.4	0	0	2.98	0	0	0	0	0	0	0	0	0	0	0	0.24	0.24	0
M0828	0	0	0	0	0	0	0	0.04	0	0.5	0	0	23.7	0	0	0	0	0	4.58	0.12	66.58	0	2.7	1.24	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02	0.32	0
M0829	0	0	0	0	0	0	0	0.74	0.04	0.38	0	0	17.76	0	0	0	0	0	35.4	0.6	33.7	0	1.32	6.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	1.66	0	0	1.48	0	0	0	0	0	0	0.02	0	0	0.2	0
M0830	0	0	0	0	0	0	0	0.1	0	1.94	0	0	8.12	0	0	0.36	0	0	9.72	0	74.14	0	2.44	2.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0	0	0	0	0.04	0	0	0	0	0	0.04	0	0	0.02	0	0	0	0	0	0	0	0	0.04	0.52	0
M0831	0	0	0	0	0	0	0	0	0	0.02	0	0	12.98	0	0	0.84	0	0	5.44	0	67.74	0	4.66	5.14	0.02	0	0	0	0	0	0	0	0	0	0	0.12	0	0	2.06	0	0	0	0	0.02	0	0	0	0	0	0.06	0	0	0.02	0	0	0	0.18	0	0.02	0	0	0	0.68	0
M0833	0	0	0	0	0	0	0	0.02	0	0.28	0	0	8.7	0	0	1.1	0	0.04	26.26	0.02	61.04	0	0.54	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	1.16	0
M0834	0	0	0	0	0	0	0	0.04	0	0.02	0	0	6.7	0	0	0	0	0	12.88	0.06	72.64	0	0.96	0.62	5.34	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0.58	0
M0835	0	0	0	0	0	0	0	0.04	0	0.04	0	0.02	4.78	0	0	0	0	0.02	14.5	0.06	77.92	0	0.96	0.3	0.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0	0	0	0.68	0
M0836	0	0	0	0	0	0	0	0	0.08	0.04	0	0	2.28	0	0	0	0	0	0.06	1.04	90.7	0	3.34	0.34	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.96	0
M0837	0	0	0	0	0	0	0	0	0.06	0.22	0	0	1.74	0	0	0.02	0	0	2.4	0.52	87.12	0	4.06	0.78	0.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	2.54	0
M0839	0	0	0	0	0	0	0	0.12	0	1.44	0	0	26.48	0	0	0.52	0	0	2.46	0.54	60.34	0	2.22	3.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24	0	0	0	0	0.06	0	0	0	0	0	0.72	0	0	0	0	0	0	0	0	0.08	0	0	0	1.76	0
M0840	0	0	0	0	0	0	0	0.02	0	0.14	0	0	13.66	0	0	0.04	0	0	9.14	0.16	73	0	1.36	1.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0
M0841	0	0	0	0	0	0	0	0	0	0.1	0	0	2.06	0	0	0	0	0	14.52	0	75.48	0	4.5	0.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0.02	0	0	0	0	0	1.1	0	0	0	0	0	0	0	0	0.04	0	0	0	1.78	0
M0842	0	0	0	0	0	0	0	0.02	0	0.08	0	0	50.2	0	0	0.02	0	0	7.64	0.08	26.74	0	1.12	6.08	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0.34	0	0	0	0	0.02	0	0	0	0	0	7.3	0	0	0.12	0	0	0	0	0	0.02	0	0	0	0.18	0
M0843	0	0	0	0	0	0	0	0.04	0	1.72	0	0	12.9	0	0	0	0	0	11.76	0.92	63.64	0.04	3.7	1.14	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0.06	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0.08	0	0	0	3.46	0
M0845	0	0	0	0	0	0	0	0.26	0	0.82	0	0	0.1	0	0	0	0	0	3.2	0.02	46.38	0	48.04	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	1.12	0
M0846	0	0	0	0	0	0	0	0	0	1.96	0	0	1.14	0	0	0	0	0	0.56	0.02	42.2	0	52.34	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	1.12	0
