"","Metabolite",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","FC","Log2FC","log10p","Text","p<0.05","FDR<0.05",">2-fold Change","SigPandFold"
"249","3-Caffeoyl-1,5-quinolactone","value","PCR","RVT",14,29,0.583697849051042,26.2980681523074,0.564,0.99974,0.975559721512116,-0.0356979008925745,-0.248720896016658,"</br> 3-Caffeoyl-1,5-quinolactone </br>pvalue:  0.564 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"250","3-Dehydroshikimate","value","PCR","RVT",14,29,0.580711231773564,34.1795990792975,0.565,0.99974,0.983425829335447,-0.0241118473505611,-0.247951552180562,"</br> 3-Dehydroshikimate </br>pvalue:  0.565 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"251","3-Feruloyl-1,5-quinolactone","value","PCR","RVT",14,29,-0.337065392052108,30.9285925841287,0.738,0.99974,1.04192923629265,0.0592572988099137,-0.131943638176958,"</br> 3-Feruloyl-1,5-quinolactone </br>pvalue:  0.738 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"252","3-Fumarylpyruvate","value","PCR","RVT",14,29,-0.919784673778079,37.0440311839972,0.364,0.99974,1.02434510284946,0.0347018425764599,-0.438898616350944,"</br> 3-Fumarylpyruvate </br>pvalue:  0.364 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"253","3-Hydroxy-1-phenyl-1-heptadecanone","value","PCR","RVT",14,29,0.810565503878911,14.9437497237236,0.43,0.99974,0.723089042999483,-0.467754779683451,-0.366531544420413,"</br> 3-Hydroxy-1-phenyl-1-heptadecanone </br>pvalue:  0.43 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"254","3-Hydroxy-4-butanolide","value","PCR","RVT",14,29,0.177096716731741,18.1179465177954,0.861,0.99974,0.972393207567402,-0.0403882791051,-0.0649968485463452,"</br> 3-Hydroxy-4-butanolide </br>pvalue:  0.861 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"255","3-Hydroxy-5-methylhex-4-enoyl-CoA","value","PCR","RVT",14,29,-1.35669861682037,36.4772116533938,0.183,0.854240549828179,1.03313398828978,0.0470273710526776,-0.737548910269571,"</br> 3-Hydroxy-5-methylhex-4-enoyl-CoA </br>pvalue:  0.183 </br> FDR:  0.8542",FALSE,FALSE,FALSE,FALSE
"256","3-Hydroxy-HT2toxin","value","PCR","RVT",14,29,-1.44790301628695,40.2561172610816,0.155,0.805403846153846,1.10607854238509,0.145453834656006,-0.809668301829709,"</br> 3-Hydroxy-HT2toxin </br>pvalue:  0.155 </br> FDR:  0.8054",FALSE,FALSE,FALSE,FALSE
"257","3-Hydroxyanthranilicacid","value","PCR","RVT",14,29,-0.320652026867201,28.4013558584605,0.751,0.99974,1.0163400938501,0.0233832462138264,-0.124360062995832,"</br> 3-Hydroxyanthranilicacid </br>pvalue:  0.751 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"258","3-Hydroxycapricacid","value","PCR","RVT",14,29,-0.816028430927847,27.3135529513629,0.422,0.99974,1.02239365161862,0.0319507832532091,-0.374687549038326,"</br> 3-Hydroxycapricacid </br>pvalue:  0.422 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"259","3-Hydroxydodecanedioicacid","value","PCR","RVT",14,29,-0.106693902184736,31.8467606626394,0.916,0.99974,1.01708569786457,0.0244412432813695,-0.0381045263321496,"</br> 3-Hydroxydodecanedioicacid </br>pvalue:  0.916 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"260","3-Hydroxydodecanoicacid","value","PCR","RVT",14,29,-1.27628681383062,31.5283607692119,0.211,0.890815625,1.03573794402243,0.050659027461428,-0.675717544702307,"</br> 3-Hydroxydodecanoicacid </br>pvalue:  0.211 </br> FDR:  0.8908",FALSE,FALSE,FALSE,FALSE
"261","3-Hydroxyisoheptanoicacid","value","PCR","RVT",14,29,1.15895834908643,30.1764400848099,0.256,0.942386920980926,0.981799836147182,-0.0264991689551142,-0.59176003468815,"</br> 3-Hydroxyisoheptanoicacid </br>pvalue:  0.256 </br> FDR:  0.9424",FALSE,FALSE,FALSE,FALSE
"262","3-Hydroxynonylacetate","value","PCR","RVT",14,29,-1.51849288131645,39.1414348038703,0.137,0.805403846153846,1.0311518187072,0.044256759448228,-0.863279432843593,"</br> 3-Hydroxynonylacetate </br>pvalue:  0.137 </br> FDR:  0.8054",FALSE,FALSE,FALSE,FALSE
"263","3-Hydroxysebacicacid","value","PCR","RVT",14,29,0.736518837320446,13.4844745793734,0.474,0.99974,0.828347421802583,-0.271692111478617,-0.324221658325915,"</br> 3-Hydroxysebacicacid </br>pvalue:  0.474 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"264","3-Hydroxysubericacid","value","PCR","RVT",14,29,-1.59686605179194,29.0848380946028,0.121,0.804166666666667,1.06160425686083,0.0862460608053838,-0.91721462968355,"</br> 3-Hydroxysubericacid </br>pvalue:  0.121 </br> FDR:  0.8042",FALSE,FALSE,FALSE,FALSE
"265","3-Hydroxytetradecanedioicacid","value","PCR","RVT",14,29,-2.3683783466587,23.9696058864854,0.0263,0.584816438356164,1.10684303081275,0.146450637905281,-1.58004425151024,"</br> 3-Hydroxytetradecanedioicacid </br>pvalue:  0.0263 </br> FDR:  0.5848",TRUE,FALSE,FALSE,FALSE
"266","3-Mercaptolactate","value","PCR","RVT",14,29,-0.294362570433677,31.8913352425836,0.77,0.99974,1.00878060361346,0.0126124415443459,-0.113509274827518,"</br> 3-Mercaptolactate </br>pvalue:  0.77 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"267","3-Methoxy-4,5-methylenedioxybenzoicacid","value","PCR","RVT",14,29,-0.121560382313776,40.8748596479669,0.904,0.99974,1.00681975080662,0.00980542327152126,-0.0438315695246367,"</br> 3-Methoxy-4,5-methylenedioxybenzoicacid </br>pvalue:  0.904 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"268","3-Methoxyfukiicacid","value","PCR","RVT",14,29,0.0262658024546975,22.0618513049679,0.979,0.99974,0.998322559905287,-0.0024220665101806,-0.00921730819686218,"</br> 3-Methoxyfukiicacid </br>pvalue:  0.979 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"269","3-Methyl-4-phenyl-3-buten-2-one","value","PCR","RVT",14,29,-0.203552346769475,20.4783585189299,0.841,0.99974,1.00539055393331,0.00775603948350214,-0.0752040042020878,"</br> 3-Methyl-4-phenyl-3-buten-2-one </br>pvalue:  0.841 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"270","3-Methyl-5-pentyl-2-furanpentadecanoicacid","value","PCR","RVT",14,29,0.555805640929901,35.5166272751708,0.582,0.99974,0.995756707598967,-0.00613480200799651,-0.235077015350112,"</br> 3-Methyl-5-pentyl-2-furanpentadecanoicacid </br>pvalue:  0.582 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"271","3-Methylcrotonyl-CoA","value","PCR","RVT",14,29,-1.84987185900835,40.9863622299579,0.0716,0.706602158273381,1.06512421820192,0.0910216919849419,-1.14508697769214,"</br> 3-Methylcrotonyl-CoA </br>pvalue:  0.0716 </br> FDR:  0.7066",FALSE,FALSE,FALSE,FALSE
"272","3-Methylcyclopentadecanone","value","PCR","RVT",14,29,0.530907200461381,34.0897232665346,0.599,0.99974,0.983703800979018,-0.0237041179277753,-0.222573177610689,"</br> 3-Methylcyclopentadecanone </br>pvalue:  0.599 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"273","3-Methyldioxyindole","value","PCR","RVT",14,29,-1.41881190187647,33.9009905559545,0.165,0.831772388059702,1.53219199522707,0.615597089173273,-0.782516055786094,"</br> 3-Methyldioxyindole </br>pvalue:  0.165 </br> FDR:  0.8318",FALSE,FALSE,FALSE,FALSE
"274","3-Methyleneoxindole","value","PCR","RVT",14,29,-1.67339407556388,39.0660803957874,0.102,0.804166666666667,1.12954760822972,0.175745078796021,-0.991399828238082,"</br> 3-Methyleneoxindole </br>pvalue:  0.102 </br> FDR:  0.8042",FALSE,FALSE,FALSE,FALSE
"275","3-Methylindole","value","PCR","RVT",14,29,-2.07909981896156,38.7635558060024,0.0443,0.640680412371134,1.47441767312374,0.560145269064958,-1.35359627377693,"</br> 3-Methylindole </br>pvalue:  0.0443 </br> FDR:  0.6407",TRUE,FALSE,FALSE,FALSE
"276","3-Methylpyrrolo[1,2-a]pyrazine","value","PCR","RVT",14,29,0.315627433983302,26.2627493350745,0.755,0.99974,0.988807098992321,-0.0162389939951433,-0.122053048370812,"</br> 3-Methylpyrrolo[1,2-a]pyrazine </br>pvalue:  0.755 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"277","3-O-Methylcoumestrol","value","PCR","RVT",14,29,-0.620206014703356,33.7275815849528,0.539,0.99974,1.0244660738862,0.0348722089986881,-0.268411234813261,"</br> 3-O-Methylcoumestrol </br>pvalue:  0.539 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"278","3-O-methyl-(-)-epicatechin","value","PCR","RVT",14,29,0.44144832240115,23.600133340296,0.663,0.99974,0.976699226092093,-0.0340137413241795,-0.178486471595227,"</br> 3-O-methyl-(-)-epicatechin </br>pvalue:  0.663 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"279","3-O-p-Coumaroylquinicacid","value","PCR","RVT",14,29,0.482678663118846,31.9448586929812,0.633,0.99974,0.979569314281111,-0.0297805137456359,-0.198596289982645,"</br> 3-O-p-Coumaroylquinicacid </br>pvalue:  0.633 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"280","3-Oxo-4,6-choladienoicacid","value","PCR","RVT",14,29,0.561036077575028,14.4892889950056,0.583,0.99974,0.704824135232879,-0.504664767699675,-0.234331445240986,"</br> 3-Oxo-4,6-choladienoicacid </br>pvalue:  0.583 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"281","3-Oxodecanoicacid","value","PCR","RVT",14,29,-2.90386384313326,24.7994823379143,0.00763,0.51338,1.05551441044931,0.0779462752666243,-2.11747546204512,"</br> 3-Oxodecanoicacid </br>pvalue:  0.0076 </br> FDR:  0.5134",TRUE,FALSE,FALSE,FALSE
"282","3-Oxododecanoicacid","value","PCR","RVT",14,29,-1.97815437796057,38.5422917219637,0.0551,0.701122413793103,1.05045124650703,0.0710092052715707,-1.25884840114821,"</br> 3-Oxododecanoicacid </br>pvalue:  0.0551 </br> FDR:  0.7011",FALSE,FALSE,FALSE,FALSE
"283","3-Oxohexadecanoicacid","value","PCR","RVT",14,29,0.111068195404316,26.1305538726551,0.912,0.99974,0.996175505075996,-0.00552815781769254,-0.0400051616715838,"</br> 3-Oxohexadecanoicacid </br>pvalue:  0.912 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"284","3-Oxooctadecanoicacid","value","PCR","RVT",14,29,-0.546928942728495,37.146946086147,0.588,0.99974,1.22775973213644,0.296028258452046,-0.230622673923862,"</br> 3-Oxooctadecanoicacid </br>pvalue:  0.588 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"285","3-Oxopimelyl-CoA","value","PCR","RVT",14,29,0.973041638653746,39.7627658858941,0.336,0.99974,0.969019228530876,-0.045402801144941,-0.473660722610156,"</br> 3-Oxopimelyl-CoA </br>pvalue:  0.336 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"286","3-Propylmalate","value","PCR","RVT",14,29,-0.748106053509081,30.0700575905038,0.46,0.99974,1.0520321227658,0.073178756576399,-0.337242168318426,"</br> 3-Propylmalate </br>pvalue:  0.46 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"287","3-[[5-Methyl-2-(1-methylethyl)cyclohexyl]oxy]-1,2-propanediol","value","PCR","RVT",14,29,-1.10855281050279,27.1356143371953,0.277,0.962023136246787,1.02698443764326,0.0384143200154049,-0.557520230935551,"</br> 3-[[5-Methyl-2-(1-methylethyl)cyclohexyl]oxy]-1,2-propanediol </br>pvalue:  0.277 </br> FDR:  0.962",FALSE,FALSE,FALSE,FALSE
"288","3-beta-Hydroxy-4-beta-methyl-5-alpha-cholest-7-ene-4-alpha-carboxylate","value","PCR","RVT",14,29,0.431890891146169,20.058342670038,0.67,0.99974,0.831829541906816,-0.265640172579648,-0.173925197299174,"</br> 3-beta-Hydroxy-4-beta-methyl-5-alpha-cholest-7-ene-4-alpha-carboxylate </br>pvalue:  0.67 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"289","3-hydroxy-2-(3-methoxyphenyl)-5-sulfino-3,4-dihydro-2H-1-benzopyran-7-olate","value","PCR","RVT",14,29,0.797850393214577,37.7146779785698,0.43,0.99974,0.974596903684638,-0.0371224558230829,-0.366531544420413,"</br> 3-hydroxy-2-(3-methoxyphenyl)-5-sulfino-3,4-dihydro-2H-1-benzopyran-7-olate </br>pvalue:  0.43 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"290","3-hydroxy-2-[4-hydroxy-3-(sulfooxy)phenyl]-5-sulfino-3,4-dihydro-2H-1-benzopyran-7-olate","value","PCR","RVT",14,29,0.306318521473309,33.6970428124945,0.761,0.99974,0.993804813577538,-0.00896556516715545,-0.118615343229427,"</br> 3-hydroxy-2-[4-hydroxy-3-(sulfooxy)phenyl]-5-sulfino-3,4-dihydro-2H-1-benzopyran-7-olate </br>pvalue:  0.761 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"291","3-hydroxy-5-sulfino-2-[3-(sulfooxy)phenyl]-3,4-dihydro-2H-1-benzopyran-7-olate","value","PCR","RVT",14,29,1.33845591152681,23.3297930001895,0.194,0.87656856187291,0.963247885850256,-0.0540209804460346,-0.712198270069774,"</br> 3-hydroxy-5-sulfino-2-[3-(sulfooxy)phenyl]-3,4-dihydro-2H-1-benzopyran-7-olate </br>pvalue:  0.194 </br> FDR:  0.8766",FALSE,FALSE,FALSE,FALSE
"292","3-hydroxypristanicacid","value","PCR","RVT",14,29,-0.598270267883673,38.136151589724,0.553,0.99974,1.03470085819604,0.0492137312254451,-0.257274868695302,"</br> 3-hydroxypristanicacid </br>pvalue:  0.553 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"293","3-methyl-4-(sulfooxy)but-2-enoicacid","value","PCR","RVT",14,29,-1.40382257219775,30.1865521722946,0.171,0.840076363636364,1.06906885212815,0.0963547711361085,-0.767003889607846,"</br> 3-methyl-4-(sulfooxy)but-2-enoicacid </br>pvalue:  0.171 </br> FDR:  0.8401",FALSE,FALSE,FALSE,FALSE
"294","3D,7D,11D-Phytanicacid","value","PCR","RVT",14,29,0.896116329880247,27.2219427870089,0.378,0.99974,0.936589957281576,-0.0945105262692882,-0.422508200162775,"</br> 3D,7D,11D-Phytanicacid </br>pvalue:  0.378 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"295","3a,16b-Dihydroxyandrostenone","value","PCR","RVT",14,29,-1.15382183138615,38.4896722464787,0.256,0.942386920980926,1.04508323894164,0.0636178548667072,-0.59176003468815,"</br> 3a,16b-Dihydroxyandrostenone </br>pvalue:  0.256 </br> FDR:  0.9424",FALSE,FALSE,FALSE,FALSE
"296","3alpha,7alpha-Dihydroxycoprostanicacid","value","PCR","RVT",14,29,-0.348360237568472,30.3980349420078,0.73,0.99974,1.06992553098681,0.097510385584533,-0.136677139879544,"</br> 3alpha,7alpha-Dihydroxycoprostanicacid </br>pvalue:  0.73 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"297","3alpha-Hydroxy-3,5-dihydromonacolinLacid","value","PCR","RVT",14,29,-2.23815566947979,35.4101995805941,0.0316,0.584816438356164,1.18189513601025,0.241102037656503,-1.5003129173816,"</br> 3alpha-Hydroxy-3,5-dihydromonacolinLacid </br>pvalue:  0.0316 </br> FDR:  0.5848",TRUE,FALSE,FALSE,FALSE
"298","3b,12a-Dihydroxy-5a-cholanoicacid","value","PCR","RVT",14,29,0.813692543642068,37.8242085293747,0.421,0.99974,0.997215065882344,-0.00402341571864513,-0.375717904164332,"</br> 3b,12a-Dihydroxy-5a-cholanoicacid </br>pvalue:  0.421 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"299","3b,15b,17a-Trihydroxy-pregnenone","value","PCR","RVT",14,29,1.77176371776338,15.3409662006695,0.0963,0.788492727272727,0.839743394953268,-0.251979551978218,-1.01637371287547,"</br> 3b,15b,17a-Trihydroxy-pregnenone </br>pvalue:  0.0963 </br> FDR:  0.7885",FALSE,FALSE,FALSE,FALSE
"300","3b-Hydroxy-5-cholenoicacid","value","PCR","RVT",14,29,0.435032099122341,21.2361409081138,0.668,0.99974,0.902144171729071,-0.148570085777254,-0.175223537524454,"</br> 3b-Hydroxy-5-cholenoicacid </br>pvalue:  0.668 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"301","3beta-Hydroxylanostane-7,11-dioneacetate","value","PCR","RVT",14,29,-0.823570941712741,38.4642663801708,0.415,0.99974,1.06093513706579,0.085336456164073,-0.381951903287907,"</br> 3beta-Hydroxylanostane-7,11-dioneacetate </br>pvalue:  0.415 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"302","4,7-Di-O-methylcatechin","value","PCR","RVT",14,29,0.0532674973088806,28.0600555091468,0.958,0.99974,1.00335908947694,0.00483802059976506,-0.0186344909214556,"</br> 4,7-Di-O-methylcatechin </br>pvalue:  0.958 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"303","4-(1,1,3,3-Tetramethylbutyl)-phenol","value","PCR","RVT",14,29,0.285314428961087,28.6387257207994,0.777,0.99974,0.989745553715227,-0.0148704137104448,-0.109578981199086,"</br> 4-(1,1,3,3-Tetramethylbutyl)-phenol </br>pvalue:  0.777 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"304","4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoicacid","value","PCR","RVT",14,29,0.309251637259407,33.1976212297199,0.759,0.99974,0.993781490076134,-0.00899942402374994,-0.11975822410452,"</br> 4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoicacid </br>pvalue:  0.759 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"305","4-(3-Methyl-1-butenyl)-3,3,4,5-tetrahydroxystilbene","value","PCR","RVT",14,29,-0.540835170251535,40.7476647799867,0.592,0.99974,1.04327587985375,0.0611207090255284,-0.22767829327708,"</br> 4-(3-Methyl-1-butenyl)-3,3,4,5-tetrahydroxystilbene </br>pvalue:  0.592 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"306","4-Acetamidobutanoate","value","PCR","RVT",14,29,-2.39906881356044,40.5363918738604,0.0211,0.584816438356164,1.60712723223164,0.684484148081796,-1.67571754470231,"</br> 4-Acetamidobutanoate </br>pvalue:  0.0211 </br> FDR:  0.5848",TRUE,FALSE,FALSE,FALSE
"307","4-Amino-2,6-dinitrotoluene","value","PCR","RVT",14,29,-0.325259731677894,39.9116421859155,0.747,0.99974,1.01105971678325,0.0158682104582784,-0.126679398184601,"</br> 4-Amino-2,6-dinitrotoluene </br>pvalue:  0.747 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"308","4-Hydroxy-5,7-dimethoxyflavan","value","PCR","RVT",14,29,-1.68289815902652,28.6665605733332,0.103,0.804166666666667,1.09436738346569,0.130097137882572,-0.987162775294828,"</br> 4-Hydroxy-5,7-dimethoxyflavan </br>pvalue:  0.103 </br> FDR:  0.8042",FALSE,FALSE,FALSE,FALSE
"309","4-Hydroxy-8-methoxy-2H-furo[2,3-h]-1-benzopyran-2-one","value","PCR","RVT",14,29,-0.197764290622268,30.2755760419965,0.845,0.99974,1.00790916218411,0.0113656218022898,-0.0731432910503077,"</br> 4-Hydroxy-8-methoxy-2H-furo[2,3-h]-1-benzopyran-2-one </br>pvalue:  0.845 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"310","4-HydroxyaminoquinolineN-oxide","value","PCR","RVT",14,29,-0.874537813468794,26.1677815617937,0.39,0.99974,1.03437610844286,0.0487608579202512,-0.408935392973501,"</br> 4-HydroxyaminoquinolineN-oxide </br>pvalue:  0.39 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"311","4-Hydroxybenzylisothiocyanate4-acetylrhamnoside","value","PCR","RVT",14,29,-0.372989736418152,25.488831784657,0.712,0.99974,1.08142635036264,0.112935415106025,-0.147520006363144,"</br> 4-Hydroxybenzylisothiocyanate4-acetylrhamnoside </br>pvalue:  0.712 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"312","4-Hydroxyphenylpyruvicacid","value","PCR","RVT",14,29,-0.970598196586253,28.6450455909427,0.34,0.99974,1.02634150440403,0.0375108525169619,-0.468521082957745,"</br> 4-Hydroxyphenylpyruvicacid </br>pvalue:  0.34 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"313","4-Hydroxyvalsartan","value","PCR","RVT",14,29,0.926880168458644,13.7494385964734,0.37,0.99974,0.782528490914635,-0.353784815106671,-0.431798275933005,"</br> 4-Hydroxyvalsartan </br>pvalue:  0.37 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"314","4-Methyl-1-phenyl-2-pentanone","value","PCR","RVT",14,29,-1.24759344596966,21.4505529224871,0.226,0.916894894894895,1.03950109861559,0.0558912829355148,-0.645891560852599,"</br> 4-Methyl-1-phenyl-2-pentanone </br>pvalue:  0.226 </br> FDR:  0.9169",FALSE,FALSE,FALSE,FALSE
"315","4-Methyl-2-oxopentanoate","value","PCR","RVT",14,29,-0.214420590275564,35.5861646020395,0.831,0.99974,1.00531163333416,0.00764278715027327,-0.080398976215889,"</br> 4-Methyl-2-oxopentanoate </br>pvalue:  0.831 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"316","4-Methyl-4-(methylthio)-2-pentanone","value","PCR","RVT",14,29,-0.796597731743746,20.5951951032104,0.435,0.99974,1.0394889682386,0.0558744474200276,-0.361510743045363,"</br> 4-Methyl-4-(methylthio)-2-pentanone </br>pvalue:  0.435 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"317","4-Methylthiobutylthiohydroximate; 8-Oxoguanine","value","PCR","RVT",14,29,1.45857946183912,37.8748575788214,0.153,0.805403846153846,0.97281771033852,-0.0397586013186748,-0.815308569182401,"</br> 4-Methylthiobutylthiohydroximate; 8-Oxoguanine </br>pvalue:  0.153 </br> FDR:  0.8054",FALSE,FALSE,FALSE,FALSE
"318","4-Oxocyclohexanecarboxylate","value","PCR","RVT",14,29,0.120697929673223,39.4042382958587,0.905,0.99974,0.999753732879603,-0.000355332108433885,-0.0433514207947967,"</br> 4-Oxocyclohexanecarboxylate </br>pvalue:  0.905 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"319","4-Pyridoxate","value","PCR","RVT",14,29,-3.26361275063933,38.9491826549304,0.00229,0.51338,4.18546912673336,2.06538933576977,-2.64016451766011,"</br> 4-Pyridoxate </br>pvalue:  0.0023 </br> FDR:  0.5134",TRUE,FALSE,TRUE,TRUE
"320","4-Pyridoxolactone","value","PCR","RVT",14,29,-0.987441406961823,36.2665343777631,0.33,0.99974,1.02975207706931,0.0422970362081757,-0.481486060122112,"</br> 4-Pyridoxolactone </br>pvalue:  0.33 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"321","4-Sulfobenzoate","value","PCR","RVT",14,29,0.675880323467285,30.1886188945935,0.504,0.99974,0.973007404956593,-0.0394773103809722,-0.297569463554475,"</br> 4-Sulfobenzoate </br>pvalue:  0.504 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"322","4-Vinylphenolsulfate","value","PCR","RVT",14,29,-0.0203661585406629,31.5540522105568,0.984,0.99974,1.00335823378876,0.00483679023504187,-0.00700490156865849,"</br> 4-Vinylphenolsulfate </br>pvalue:  0.984 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"323","4-[(2-Furanylmethyl)thio]-2-pentanone","value","PCR","RVT",14,29,0.451970515380001,19.5467602414917,0.656,0.99974,0.949002357306095,-0.0755164240060049,-0.18309616062434,"</br> 4-[(2-Furanylmethyl)thio]-2-pentanone </br>pvalue:  0.656 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"324","4-[2,2-Bithiophen-5-yl]-3-butyn-1-ol","value","PCR","RVT",14,29,1.71589617395386,34.831469575738,0.0951,0.788492727272727,0.964472134271574,-0.0521885386544185,-1.02181948306259,"</br> 4-[2,2-Bithiophen-5-yl]-3-butyn-1-ol </br>pvalue:  0.0951 </br> FDR:  0.7885",FALSE,FALSE,FALSE,FALSE
"325","4-phenylbutanicacid-O-sulphate","value","PCR","RVT",14,29,0.710003455605637,32.7861479748399,0.483,0.99974,0.975694435672072,-0.0354986941925151,-0.316052869248488,"</br> 4-phenylbutanicacid-O-sulphate </br>pvalue:  0.483 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"326","4-tert-Butylphenylsalicylate","value","PCR","RVT",14,29,-1.04977046434606,40.6763656890141,0.3,0.987016990291262,1.02172708712756,0.0310098903778042,-0.522878745280338,"</br> 4-tert-Butylphenylsalicylate </br>pvalue:  0.3 </br> FDR:  0.987",FALSE,FALSE,FALSE,FALSE
"327","4R,5R,6S-Trihydroxy-2-hydroxymethyl-2-cyclohexen-1-one6-(2-hydroxy-6-methylbenzoate)","value","PCR","RVT",14,29,0.277600029683655,25.006664483398,0.784,0.99974,0.983333300768943,-0.0242475940234419,-0.105683937315562,"</br> 4R,5R,6S-Trihydroxy-2-hydroxymethyl-2-cyclohexen-1-one6-(2-hydroxy-6-methylbenzoate) </br>pvalue:  0.784 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"328","4]-Gingerdiol3,5-diacetate","value","PCR","RVT",14,29,0.365123435777337,20.8696906836771,0.719,0.99974,0.97271374605872,-0.0399127892661869,-0.143271109617117,"</br> 4]-Gingerdiol3,5-diacetate </br>pvalue:  0.719 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"329","5,10-Methenyltetrahydrofolicacid","value","PCR","RVT",14,29,-0.0230060003981833,32.4581528588412,0.982,0.99974,1.00507327262156,0.0073006816971205,-0.00788851221305034,"</br> 5,10-Methenyltetrahydrofolicacid </br>pvalue:  0.982 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"330","5,4-Dihydroxy-3,3-dimethoxy-6:7-methylenedioxyflavone","value","PCR","RVT",14,29,-1.47095264629197,40.9178489702064,0.149,0.805403846153846,1.05077244773874,0.0714502772326269,-0.826813731587726,"</br> 5,4-Dihydroxy-3,3-dimethoxy-6:7-methylenedioxyflavone </br>pvalue:  0.149 </br> FDR:  0.8054",FALSE,FALSE,FALSE,FALSE
"331","5,5,6,6-Tetrahydroxy-3,3-biindolyl","value","PCR","RVT",14,29,0.615017957995141,36.2973122870331,0.542,0.99974,0.983655486369107,-0.0237749776315252,-0.266000713461613,"</br> 5,5,6,6-Tetrahydroxy-3,3-biindolyl </br>pvalue:  0.542 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"332","5,6-Dihydro-4-methoxy-6-[2-(4-methoxyphenyl)ethyl]-2H-pyran-2-one","value","PCR","RVT",14,29,-0.20595503161021,30.4653551690153,0.838,0.99974,1.00774398811563,0.0111291765488203,-0.0767559813697235,"</br> 5,6-Dihydro-4-methoxy-6-[2-(4-methoxyphenyl)ethyl]-2H-pyran-2-one </br>pvalue:  0.838 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
